Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
27	Node21	1	dev=net(1)	DropInterests	7.07999e-14	0	0	0
27	Node21	1	dev=net(1)	InNacks	0	0	0	0
27	Node21	1	dev=net(1)	OutNacks	0	0	0	0
27	Node21	1	dev=net(1)	DropNacks	0	0	0	0
27	Node21	1	dev=net(1)	InData	3.66336	0	4	0
27	Node21	1	dev=net(1)	OutData	0.83328	0.0602175	1	0.0722656
27	Node21	1	dev=net(1)	DropData	0	0	0	0
27	Node21	1	dev=net(1)	InSatisfiedInterests	0.83328	0	1	0
27	Node21	1	dev=net(1)	InTimedOutInterests	9.03873e-11	0	0	0
27	Node21	1	dev=net(1)	OutSatisfiedInterests	3.66336	0	4	0
27	Node21	1	dev=net(1)	OutTimedOutInterests	0	0	0	0
27	Node21	-1	all	SatisfiedInterests	4.49664	0	5	0
27	Node21	-1	all	TimedOutInterests	9.03873e-11	0	0	0
27	Node22	0	dev=net(0)	InInterests	0.83328	0	1	0
27	Node22	0	dev=net(0)	OutInterests	3.66592	0.274986	4	0.308594
27	Node22	0	dev=net(0)	DropInterests	2.89239e-14	0	0	0
27	Node22	0	dev=net(0)	InNacks	0	0	0	0
27	Node22	0	dev=net(0)	OutNacks	0	0	0	0
27	Node22	0	dev=net(0)	DropNacks	0	0	0	0
27	Node22	0	dev=net(0)	InData	3.66336	0	4	0
27	Node22	0	dev=net(0)	OutData	0.83328	0.0602175	1	0.0722656
27	Node22	0	dev=net(0)	DropData	0	0	0	0
27	Node22	0	dev=net(0)	InSatisfiedInterests	0.83328	0	1	0
27	Node22	0	dev=net(0)	InTimedOutInterests	9.03873e-11	0	0	0
27	Node22	0	dev=net(0)	OutSatisfiedInterests	3.66336	0	4	0
27	Node22	0	dev=net(0)	OutTimedOutInterests	9.03873e-11	0	0	0
27	Node22	1	dev=net(1)	InInterests	3.552	0	4	0
27	Node22	1	dev=net(1)	OutInterests	0.832	0.0365625	1	0.0439453
27	Node22	1	dev=net(1)	DropInterests	0	0	0	0
27	Node22	1	dev=net(1)	InNacks	0	0	0	0
27	Node22	1	dev=net(1)	OutNacks	0	0	0	0
27	Node22	1	dev=net(1)	DropNacks	0	0	0	0
27	Node22	1	dev=net(1)	InData	0.832	0	1	0
27	Node22	1	dev=net(1)	OutData	3.488	0.593625	4	0.640625
27	Node22	1	dev=net(1)	DropData	0	0	0	0
27	Node22	1	dev=net(1)	InSatisfiedInterests	3.488	0	4	0
27	Node22	1	dev=net(1)	InTimedOutInterests	9.03873e-11	0	0	0
27	Node22	1	dev=net(1)	OutSatisfiedInterests	0.832	0	1	0
27	Node22	1	dev=net(1)	OutTimedOutInterests	0	0	0	0
27	Node22	2	dev=local(2)	InInterests	4.49792	0	5	0
27	Node22	2	dev=local(2)	OutInterests	3.52128	0	4	0
27	Node22	2	dev=local(2)	DropInterests	0	0	0	0
27	Node22	2	dev=local(2)	InNacks	0	0	0	0
27	Node22	2	dev=local(2)	OutNacks	0	0	0	0
27	Node22	2	dev=local(2)	DropNacks	0	0	0	0
27	Node22	2	dev=local(2)	InData	3.45728	0	4	0
27	Node22	2	dev=local(2)	OutData	4.49536	0	5	0
27	Node22	2	dev=local(2)	DropData	0	0	0	0
27	Node22	2	dev=local(2)	InSatisfiedInterests	4.49536	0	5	0
27	Node22	2	dev=local(2)	InTimedOutInterests	0	0	0	0
27	Node22	2	dev=local(2)	OutSatisfiedInterests	3.45728	0	4	0
27	Node22	2	dev=local(2)	OutTimedOutInterests	9.03873e-11	0	0	0
27	Node22	-1	all	SatisfiedInterests	8.81664	0	10	0
27	Node22	-1	all	TimedOutInterests	9.03873e-11	0	0	0
27	Node23	0	dev=net(0)	InInterests	3.66592	0	4	0
27	Node23	0	dev=net(0)	OutInterests	0.83328	0.0366188	1	0.0439453
27	Node23	0	dev=net(0)	DropInterests	7.07999e-14	0	0	0
27	Node23	0	dev=net(0)	InNacks	0	0	0	0
27	Node23	0	dev=net(0)	OutNacks	0	0	0	0
27	Node23	0	dev=net(0)	DropNacks	0	0	0	0
27	Node23	0	dev=net(0)	InData	0.83328	0	1	0
27	Node23	0	dev=net(0)	OutData	3.66336	0.615979	4	0.679688
27	Node23	0	dev=net(0)	DropData	0	0	0	0
27	Node23	0	dev=net(0)	InSatisfiedInterests	3.66336	0	4	0
27	Node23	0	dev=net(0)	InTimedOutInterests	0	0	0	0
27	Node23	0	dev=net(0)	OutSatisfiedInterests	0.83328	0	1	0
27	Node23	0	dev=net(0)	OutTimedOutInterests	9.03873e-11	0	0	0
27	Node23	1	dev=net(1)	InInterests	0.192	0	0	0
27	Node23	1	dev=net(1)	OutInterests	0.832	0.0365625	1	0.0439453
27	Node23	1	dev=net(1)	DropInterests	0.16	0	0	0
27	Node23	1	dev=net(1)	InNacks	0	0	0	0
27	Node23	1	dev=net(1)	OutNacks	0	0	0	0
27	Node23	1	dev=net(1)	DropNacks	0	0	0	0
27	Node23	1	dev=net(1)	InData	0.832	0	1	0
27	Node23	1	dev=net(1)	OutData	0.192	0.013875	0	0
27	Node23	1	dev=net(1)	DropData	0	0	0	0
27	Node23	1	dev=net(1)	InSatisfiedInterests	0.192	0	0	0
27	Node23	1	dev=net(1)	InTimedOutInterests	0	0	0	0
27	Node23	1	dev=net(1)	OutSatisfiedInterests	0.832	0	1	0
27	Node23	1	dev=net(1)	OutTimedOutInterests	9.03873e-11	0	0	0
27	Node23	2	dev=net(2)	InInterests	1.66528	0	2	0
27	Node23	2	dev=net(2)	OutInterests	3.66592	0.274986	4	0.308594
27	Node23	2	dev=net(2)	DropInterests	0	0	0	0
27	Node23	2	dev=net(2)	InNacks	0	0	0	0
27	Node23	2	dev=net(2)	OutNacks	0	0	0	0
